date,volvol,init_vola,rho,beta
2022-01-25 00:00:00+01:00,2.6998140245156788,0.2059107788204423,0.6091165325160541,1.0
2022-01-25 00:10:00+01:00,2.6998677927916868,0.2059085619216816,0.6090587132373319,1.0
2022-01-25 00:15:00+01:00,2.6998671562621035,0.2059085884984065,0.6090589744820133,1.0
2022-01-25 00:30:00+01:00,2.700063561615791,0.2058816935717013,0.6089945386903388,1.0
2022-01-25 01:10:00+01:00,2.7003948592089992,0.2058289722522174,0.6089106608690519,1.0
2022-01-25 01:15:00+01:00,2.700395738609964,0.2058289248759081,0.6089102101710862,1.0
2022-01-25 01:20:00+01:00,2.701629311120845,0.2057661072921748,0.6087352913987036,1.0
2022-01-25 01:30:00+01:00,2.7016275384317465,0.2057662017891633,0.6087361941693462,1.0
2022-01-25 01:40:00+01:00,2.70171083971437,0.2057623007049445,0.6086288907429547,1.0
2022-01-25 01:45:00+01:00,2.7017114171844723,0.2057622981173505,0.6086288509436855,1.0
2022-01-25 01:50:00+01:00,2.70171097384988,0.2057622923628909,0.6086288114880652,1.0
2022-01-25 02:00:00+01:00,2.7019062558978253,0.2057170858588309,0.6087285509753677,1.0
2022-01-25 02:10:00+01:00,2.7021014305416067,0.2056901736713302,0.6086640299784155,1.0
2022-01-25 02:20:00+01:00,2.702152691203367,0.2056880669757606,0.6086072979964068,1.0
2022-01-25 02:40:00+01:00,2.702267849581716,0.2056650308239225,0.6086497709271608,1.0
2022-01-25 02:45:00+01:00,2.7013385345773164,0.2056595856854939,0.6089669479636597,1.0
2022-01-25 02:50:00+01:00,2.7013408757544344,0.205659610864202,0.6089671002162927,1.0
2022-01-25 03:00:00+01:00,2.70142207724083,0.2056557328416626,0.6088599948626446,1.0
2022-01-25 03:10:00+01:00,2.701473678107184,0.2056536586027584,0.6088035090014855,1.0
2022-01-25 03:40:00+01:00,2.7017831021718943,0.2056037187284669,0.608781560125066,1.0
2022-01-25 03:50:00+01:00,2.701781729459094,0.205603693000415,0.6087813711658232,1.0
2022-01-25 04:00:00+01:00,2.701783468833226,0.2056037104628533,0.6087814758930716,1.0
2022-01-25 04:10:00+01:00,2.70189615460583,0.2055806511807997,0.6088238494360025,1.0
2022-01-25 04:20:00+01:00,2.702091801891169,0.2055537332996259,0.6087592281656826,1.0
2022-01-25 04:30:00+01:00,2.702144718096928,0.2055516345974151,0.6087024844161973,1.0
2022-01-25 04:40:00+01:00,2.7020113555464578,0.2055943103629533,0.6085385577151525,1.0
2022-01-25 04:50:00+01:00,2.7020080110536178,0.2055943328843429,0.6085388617876062,1.0
2022-01-25 05:00:00+01:00,2.702126901779427,0.2055712497128285,0.6085808123880676,1.0
2022-01-25 05:10:00+01:00,2.7022399852569814,0.205548044956002,0.6086218597743126,1.0
2022-01-25 05:15:00+01:00,2.7022450324166187,0.2055480124637632,0.6086214144431132,1.0
2022-01-25 05:20:00+01:00,2.702241931766614,0.2055480010716299,0.6086214072548027,1.0
2022-01-25 05:30:00+01:00,2.7034477865302464,0.2055044281442576,0.6082977266261255,1.0
2022-01-25 05:40:00+01:00,2.699644803210083,0.2068218090569735,0.6092984922360665,1.0
2022-01-25 05:45:00+01:00,2.6996435623354325,0.2068217748990583,0.6092982250496694,1.0
2022-01-25 05:50:00+01:00,2.699643360172262,0.2068217872220256,0.6092983424774737,1.0
2022-01-25 06:00:00+01:00,2.699643461084116,0.2068217809465529,0.609298283828811,1.0
2022-01-25 06:10:00+01:00,2.699953685021081,0.2067717751376618,0.6092757259202987,1.0
2022-01-25 06:15:00+01:00,2.6999535859122967,0.2067717811588059,0.6092757846017883,1.0
2022-01-25 06:20:00+01:00,2.699956733396345,0.2067717780548804,0.6092756580592062,1.0
2022-01-25 06:30:00+01:00,2.7000371722322583,0.2067679599442223,0.6091695761010903,1.0
2022-01-25 06:40:00+01:00,2.701155838982767,0.2067281937082708,0.6089529691054574,1.0
2022-01-25 06:45:00+01:00,2.701268811499148,0.2067050794376567,0.608994596761096,1.0
2022-01-25 06:50:00+01:00,2.70138106682573,0.2066820136957666,0.6090366852945415,1.0
2022-01-25 07:00:00+01:00,2.7014346378842458,0.2066798470616319,0.6089795712277639,1.0
2022-01-25 07:10:00+01:00,2.702604393542925,0.2066378972287625,0.6087060240147597,1.0
2022-01-25 07:16:00+01:00,2.7026042266237256,0.2066379024707586,0.6087060770129036,1.0
2022-01-25 07:30:00+01:00,2.702797455641769,0.206611052923567,0.6086424464901508,1.0
2022-01-25 07:40:00+01:00,2.7029120664329325,0.2065879526628415,0.6086841376868691,1.0
2022-01-25 07:45:00+01:00,2.681825382571144,0.2062525532123164,0.615962569841353,1.0
2022-01-25 07:50:00+01:00,2.681877958015744,0.2062504138628254,0.6159048613291638,1.0
2022-01-25 08:00:00+01:00,2.681934169449216,0.2062481832500218,0.6158461121296711,1.0
2022-01-25 08:10:00+01:00,2.680879870560545,0.2062659743179369,0.6161292107287187,1.0
2022-01-25 08:15:00+01:00,2.67982513364448,0.2062837264934812,0.6164122401895871,1.0
2022-01-25 08:20:00+01:00,2.67982580930432,0.206283710263188,0.6164120530576106,1.0
2022-01-25 08:30:00+01:00,2.6617448884928003,0.2078555718879337,0.616714535308314,1.0
2022-01-25 08:42:00+01:00,2.705387379361983,0.2070798132944043,0.6048396081836417,1.0
2022-01-25 08:45:00+01:00,2.7053863753776044,0.207079804164203,0.6048395568283876,1.0
2022-01-25 08:50:00+01:00,2.7035413147085703,0.2071053130493117,0.6051137204327809,1.0
